experiment_type,seed,batchsize,in_channels,hidden_channels,act_name,bias,opt_name,lr,n_epochs,l2_sum_lambda,l2_mul_lambda,train_epoch_losses,train_epoch_l2_sum_losses,train_epoch_l2_mul_losses,train_batch_losses,train_batch_l2_sum_losses,train_batch_l2_mul_losses,test_losses,test_accuracies,wn,train_losses,train_accuracies,depth_normalization,features_normalization,batch_norm,weight_ranks,rho_values,mislabel_percentage,epoch,mean_margin
Summation,42,64,3,None,None,['False'],adamw,0.01,25,0.01,0.0,"[0.5305132313728332, 0.5325997326850891, 0.513256586074829, 0.49886459465026856, 0.4986438362121582, 0.4893082489013672, 0.47939836263656616, 0.47680275564193725, 0.4670067018032074, 0.46251707360744476]","[141.12482410669327, 146.4553884267807, 150.42023980617523, 155.48019874095917, 159.43899500370026, 163.82607889175415, 166.07023632526398, 168.16538095474243, 170.47394227981567, 170.4237242937088]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.4756247103214264, 0.46920010447502136, 0.3267117738723755, 0.4029645621776581, 0.5058053135871887, 0.46111661195755005, 0.4680008888244629, 0.3723994493484497, 0.4892488121986389, 0.18512891232967377]","[1.09757661819458, 1.0965197086334229, 1.0958596467971802, 1.0956764221191406, 1.0958011150360107, 1.0958160161972046, 1.0959571599960327, 1.0959230661392212, 1.0959434509277344, 1.095649003982544]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5532027525901795, 0.5612063882350922, 0.5533352634906769, 0.5658491544723511, 0.5336659307479859, 0.5302895104885101, 0.521271291255951, 0.5054266109466553, 0.5181451201438904, 0.5172561843395234]","[81.85, 81.3, 81.7, 80.55, 82.4, 83.15, 83.2, 83.3, 82.9, 83.35]",0.9,"[0.5070968276977539, 0.5210809781074524, 0.5117275496482849, 0.5073286847114563, 0.48023913407325747, 0.47884374771118166, 0.46761476159095766, 0.4619272625207901, 0.46606463379859925, 0.4595383158683777]","[83.9, 83.35, 83.41, 83.54, 84.63, 84.6, 85.08, 85.82, 85.32, 85.37]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 7, 'net.conv3.parametrizations.weight.original': 32, 'net.conv4.parametrizations.weight.original': 12, 'net.fc1.parametrizations.weight.original': 2, 'net.fc2.parametrizations.weight.original': 1}","[17.32503318786621, 19.006771087646484, 20.638818740844727, 24.41496467590332, 26.847448348999023, 29.049028396606445, 31.785078048706055, 33.40873336791992, 34.96110916137695, 38.02885055541992]",0.0,25.0,0.014456911
Summation,42,64,3,None,None,['False'],adamw,0.01,25,0.001,0.0,"[0.506342399597168, 0.4971576621055603, 0.48632547378540036, 0.4732955430030823, 0.46492171268463134, 0.4575661396026611, 0.45156205308437347, 0.4458784272670746, 0.44081030645370484, 0.4318353533744812]","[385.37572860717773, 400.93652868270874, 412.96198558807373, 423.6463534832001, 435.91468620300293, 445.467529296875, 453.87844467163086, 461.67617750167847, 466.21307349205017, 473.79704189300537]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.43235576152801514, 0.41338494420051575, 0.27228355407714844, 0.3416749835014343, 0.5354102849960327, 0.43070125579833984, 0.5355647802352905, 0.4728618860244751, 0.39258626103401184, 0.14894062280654907]","[3.0170974731445312, 3.0144879817962646, 3.012782096862793, 3.0131497383117676, 3.0148825645446777, 3.015596389770508, 3.016482353210449, 3.015928268432617, 3.01501202583313, 3.014467239379883]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5156739411354065, 0.5151947665214539, 0.5463832876682282, 0.5456082623004913, 0.506172102689743, 0.48608657360076907, 0.47294371032714844, 0.4676094641685486, 0.47000132751464846, 0.47385717821121215]","[82.9, 82.6, 80.9, 81.3, 83.15, 83.4, 84.15, 84.5, 84.5, 84.4]",0.9,"[0.4799963017463684, 0.485669135093689, 0.5134888897895813, 0.49638047552108766, 0.4646797707080841, 0.45207158298492434, 0.4313035605430603, 0.43007593150138856, 0.42682420129776, 0.42926764793395994]","[84.83, 84.33, 82.81, 83.99, 85.17, 85.57, 86.61, 86.5, 87.08, 86.66]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 8, 'net.conv3.parametrizations.weight.original': 32, 'net.conv4.parametrizations.weight.original': 11, 'net.fc1.parametrizations.weight.original': 4, 'net.fc2.parametrizations.weight.original': 1}","[29.976009368896484, 33.18013381958008, 34.80046081542969, 41.21803665161133, 45.525299072265625, 48.91191482543945, 54.0139045715332, 55.68535232543945, 58.74219512939453, 62.94763946533203]",0.0,25.0,0.00914668
Summation,42,64,3,None,None,['False'],adamw,0.01,25,0.0001,0.0,"[0.5452716302871704, 0.5377559720516205, 0.5239170262813568, 0.5114681000709533, 0.5055991381645203, 0.4979301993370056, 0.48753086581230165, 0.4842590209007263, 0.479724907207489, 0.4665206828117371]","[527.8625326156616, 552.3724882602692, 578.2410542964935, 601.2768704891205, 622.8726921081543, 645.8205580711365, 659.9544978141785, 677.1856389045715, 695.9237856864929, 711.7526698112488]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.42581698298454285, 0.45257261395454407, 0.27230319380760193, 0.41929125785827637, 0.4856623113155365, 0.4463881254196167, 0.4602496027946472, 0.4414510428905487, 0.47819817066192627, 0.27808719873428345]","[4.571107864379883, 4.569209098815918, 4.567908763885498, 4.567799091339111, 4.568472385406494, 4.568750381469727, 4.569000720977783, 4.568586349487305, 4.568296909332275, 4.5677714347839355]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5885803492069245, 0.5702521557807922, 0.5739135322570801, 0.5540158584117889, 0.5611708602905273, 0.5424851198196411, 0.542096116065979, 0.5360670573711396, 0.5419693937301636, 0.531907416343689]","[80.4, 81.0, 78.85, 80.7, 79.6, 80.25, 80.9, 82.25, 80.5, 81.25]",0.9,"[0.52899825091362, 0.5227946645259857, 0.5235910259246827, 0.4922472746133804, 0.4965330535888672, 0.4848682079315186, 0.4777898509979248, 0.4788687463760376, 0.4789462314605713, 0.4682703685760498]","[82.8, 83.1, 82.46, 83.87, 83.48, 84.03, 84.38, 84.73, 84.14, 84.42]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 12, 'net.conv3.parametrizations.weight.original': 28, 'net.conv4.parametrizations.weight.original': 17, 'net.fc1.parametrizations.weight.original': 6, 'net.fc2.parametrizations.weight.original': 1}","[34.744449615478516, 38.444091796875, 42.825111389160156, 50.03847885131836, 55.666194915771484, 59.227813720703125, 64.8301010131836, 69.40098571777344, 73.60919952392578, 80.70944213867188]",0.0,25.0,0.0067104814
Multiplication,42,64,3,None,None,['False'],adamw,0.01,25,0.0,0.01,"[0.5143676448822021, 0.5075287984371185, 0.4972653277397156, 0.4819956218719482, 0.4697917275428772, 0.46268098554611203, 0.4514845353603363, 0.4425191915512085, 0.4418058394432068, 0.43122274980545044]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6.126260512928638e-05, 8.058071759364793e-05, 0.0001034996886346562, 0.00013124076320991662, 0.00016952192129338073, 0.0002140354743005446, 0.00025355152217798604, 0.0003013829574456395, 0.00035827581223202287, 0.0004300728271573462]","[0.43859973549842834, 0.39151155948638916, 0.2597343921661377, 0.3116650879383087, 0.4591183662414551, 0.43626290559768677, 0.5583374500274658, 0.3932459354400635, 0.48204195499420166, 0.17249786853790283]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2.9461029953381512e-06, 2.939696059911512e-06, 2.936849114121287e-06, 2.938600346169551e-06, 2.9442749109875876e-06, 2.9473260383383604e-06, 2.9525883746828185e-06, 2.951175247289939e-06, 2.9486438961612293e-06, 2.9426259970932733e-06]","[0.5480610928535461, 0.5343130540847778, 0.5455725121498108, 0.5493753156661987, 0.5149358139038086, 0.5076599907875061, 0.5049244775772095, 0.504474048614502, 0.48650094175338743, 0.5062225522994995]","[81.15, 81.25, 81.5, 81.0, 83.0, 83.25, 83.75, 81.95, 83.65, 83.9]",0.9,"[0.4986505741596222, 0.48121833143234255, 0.4916466236591339, 0.48369617807865145, 0.4446995822429657, 0.4482258132457733, 0.43494549951553346, 0.4372915732860565, 0.42350785179138184, 0.43491947603225706]","[84.38, 84.18, 83.64, 84.34, 86.14, 85.58, 86.43, 86.45, 86.9, 85.94]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 10, 'net.conv3.parametrizations.weight.original': 27, 'net.conv4.parametrizations.weight.original': 11, 'net.fc1.parametrizations.weight.original': 4, 'net.fc2.parametrizations.weight.original': 1}","[32.08863830566406, 35.01768112182617, 38.69153594970703, 45.24275588989258, 52.219627380371094, 55.264610290527344, 61.26594924926758, 66.86282348632812, 71.14845275878906, 79.4831771850586]",0.0,25.0,0.007211078
Multiplication,42,64,3,None,None,['False'],adamw,0.01,25,0.0,0.001,"[0.5151966678619385, 0.5084293172836304, 0.4992437599182129, 0.4831406129837036, 0.47085896615982054, 0.46385651664733885, 0.4523556141376495, 0.4439057140827179, 0.44277440724372863, 0.4345184757709503]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6.139885982747728e-05, 8.032939297208941e-05, 0.00010185605509605011, 0.00012660514624940333, 0.00016361171998369173, 0.00020752790089773043, 0.00024824985246141296, 0.0002971490509935393, 0.00035079086455880315, 0.00042230095300510584]","[0.4496491551399231, 0.39274877309799194, 0.2748633325099945, 0.3145650029182434, 0.45740967988967896, 0.4445227384567261, 0.5578827857971191, 0.39044809341430664, 0.4733228087425232, 0.18483701348304749]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2.902247842939687e-06, 2.895064426411409e-06, 2.8912033940287074e-06, 2.8917343115608674e-06, 2.8963008844584692e-06, 2.8986187317059375e-06, 2.90245725409477e-06, 2.8995118555030786e-06, 2.8955839752597967e-06, 2.8887350254080957e-06]","[0.5407903738021851, 0.5334050416946411, 0.5414710669517517, 0.5545531144142151, 0.51624578332901, 0.5090305852890015, 0.5034620866775513, 0.501388198852539, 0.48668647289276123, 0.5082368898391724]","[81.55, 81.4, 81.55, 80.6, 82.8, 82.9, 83.55, 82.35, 83.9, 83.8]",0.9,"[0.4937452310323715, 0.48236288795471194, 0.48688495845794677, 0.48785568070411683, 0.4480030125141144, 0.45059702968597415, 0.4342703045129776, 0.4358972536087036, 0.42512629141807556, 0.44082905931472777]","[84.32, 84.21, 83.95, 84.16, 86.1, 85.52, 86.29, 86.31, 86.75, 85.65]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 10, 'net.conv3.parametrizations.weight.original': 28, 'net.conv4.parametrizations.weight.original': 11, 'net.fc1.parametrizations.weight.original': 4, 'net.fc2.parametrizations.weight.original': 1}","[32.13643264770508, 34.74685287475586, 38.27690124511719, 44.51158905029297, 51.32426834106445, 54.69493103027344, 61.117759704589844, 66.27338409423828, 70.57225799560547, 78.7274398803711]",0.0,25.0,0.0072792876
Multiplication,42,64,3,None,None,['False'],adamw,0.01,25,0.0,0.0001,"[0.5151966678619385, 0.5084293172836304, 0.4992437599182129, 0.4831406129837036, 0.47085896615982054, 0.46385651664733885, 0.4523556141376495, 0.4439057140827179, 0.44277440724372863, 0.4345184757709503]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6.139885982747728e-05, 8.032939297208941e-05, 0.00010185605509605011, 0.00012660514624940333, 0.00016361171998369173, 0.00020752790089773043, 0.00024824985246141296, 0.0002971490509935393, 0.00035079086455880315, 0.00042230095300510584]","[0.4496491551399231, 0.39274877309799194, 0.2748633325099945, 0.3145650029182434, 0.45740967988967896, 0.4445227384567261, 0.5578827857971191, 0.39044809341430664, 0.4733228087425232, 0.18483701348304749]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2.902247842939687e-06, 2.895064426411409e-06, 2.8912033940287074e-06, 2.8917343115608674e-06, 2.8963008844584692e-06, 2.8986187317059375e-06, 2.90245725409477e-06, 2.8995118555030786e-06, 2.8955839752597967e-06, 2.8887350254080957e-06]","[0.5407903738021851, 0.5334050416946411, 0.5414710669517517, 0.5545531144142151, 0.51624578332901, 0.5090305852890015, 0.5034620866775513, 0.501388198852539, 0.48668647289276123, 0.5082368898391724]","[81.55, 81.4, 81.55, 80.6, 82.8, 82.9, 83.55, 82.35, 83.9, 83.8]",0.9,"[0.4937452310323715, 0.48236288795471194, 0.48688495845794677, 0.48785568070411683, 0.4480030125141144, 0.45059702968597415, 0.4342703045129776, 0.4358972536087036, 0.42512629141807556, 0.44082905931472777]","[84.32, 84.21, 83.95, 84.16, 86.1, 85.52, 86.29, 86.31, 86.75, 85.65]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 10, 'net.conv3.parametrizations.weight.original': 28, 'net.conv4.parametrizations.weight.original': 11, 'net.fc1.parametrizations.weight.original': 4, 'net.fc2.parametrizations.weight.original': 1}","[32.13643264770508, 34.74685287475586, 38.27690124511719, 44.51158905029297, 51.32426834106445, 54.69493103027344, 61.117759704589844, 66.27338409423828, 70.57225799560547, 78.7274398803711]",0.0,25.0,0.0072792876
