experiment_type,seed,batchsize,in_channels,hidden_channels,act_name,bias,opt_name,lr,n_epochs,l2_sum_lambda,l2_mul_lambda,train_epoch_losses,train_epoch_l2_sum_losses,train_epoch_l2_mul_losses,train_batch_losses,train_batch_l2_sum_losses,train_batch_l2_mul_losses,test_losses,test_accuracies,wn,train_losses,train_accuracies,depth_normalization,features_normalization,batch_norm,weight_ranks,rho_values,mislabel_percentage,epoch,mean_margin
Summation,42,64,3,None,None,['False'],adamw,0.01,25,0.01,0.0,"[0.5305132313728332, 0.5325997326850891, 0.513256586074829, 0.49886459465026856, 0.4986438362121582, 0.4893082489013672, 0.47939836263656616, 0.47680275564193725, 0.4670067018032074, 0.46251707360744476]","[141.12482410669327, 146.4553884267807, 150.42023980617523, 155.48019874095917, 159.43899500370026, 163.82607889175415, 166.07023632526398, 168.16538095474243, 170.47394227981567, 170.4237242937088]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.4756247103214264, 0.46920010447502136, 0.3267117738723755, 0.4029645621776581, 0.5058053135871887, 0.46111661195755005, 0.4680008888244629, 0.3723994493484497, 0.4892488121986389, 0.18512891232967377]","[1.09757661819458, 1.0965197086334229, 1.0958596467971802, 1.0956764221191406, 1.0958011150360107, 1.0958160161972046, 1.0959571599960327, 1.0959230661392212, 1.0959434509277344, 1.095649003982544]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5532027525901795, 0.5612063882350922, 0.5533352634906769, 0.5658491544723511, 0.5336659307479859, 0.5302895104885101, 0.521271291255951, 0.5054266109466553, 0.5181451201438904, 0.5172561843395234]","[81.85, 81.3, 81.7, 80.55, 82.4, 83.15, 83.2, 83.3, 82.9, 83.35]",0.9,"[0.5070968276977539, 0.5210809781074524, 0.5117275496482849, 0.5073286847114563, 0.48023913407325747, 0.47884374771118166, 0.46761476159095766, 0.4619272625207901, 0.46606463379859925, 0.4595383158683777]","[83.9, 83.35, 83.41, 83.54, 84.63, 84.6, 85.08, 85.82, 85.32, 85.37]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 7, 'net.conv3.parametrizations.weight.original': 32, 'net.conv4.parametrizations.weight.original': 12, 'net.fc1.parametrizations.weight.original': 2, 'net.fc2.parametrizations.weight.original': 1}","[17.32503318786621, 19.006771087646484, 20.638818740844727, 24.41496467590332, 26.847448348999023, 29.049028396606445, 31.785078048706055, 33.40873336791992, 34.96110916137695, 38.02885055541992]",0.0,25.0,0.014456911
Summation,42,64,3,None,None,['False'],adamw,0.01,25,0.01,0.0,"[0.4862497076034546, 0.4855323007583618, 0.47588487038612365, 0.4562679883003235, 0.4514972826957703, 0.439489888381958, 0.4313750505924225, 0.43167852039337157, 0.4253165019512177, 0.41482476515769956]","[163.92404770851135, 165.29527747631073, 169.24356412887573, 171.75649762153625, 172.459401845932, 176.5490630865097, 179.0129293203354, 179.66228806972504, 181.0551574230194, 182.62263011932373]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.4251326620578766, 0.43159720301628113, 0.2793964147567749, 0.31181442737579346, 0.4691869616508484, 0.3918285667896271, 0.4876226484775543, 0.42572057247161865, 0.46332865953445435, 0.1538885533809662]","[1.1568342447280884, 1.1563242673873901, 1.1560943126678467, 1.1562145948410034, 1.1570205688476562, 1.1579368114471436, 1.158902883529663, 1.1593756675720215, 1.1595537662506104, 1.1595343351364136]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5136154503822327, 0.4958260884284973, 0.5322501747608185, 0.5142139897346497, 0.49305821990966797, 0.47694378662109377, 0.47213394713401796, 0.46505869007110595, 0.4624374928474426, 0.4869362471103668]","[82.4, 83.8, 81.45, 82.4, 83.15, 84.0, 84.05, 85.3, 84.9, 83.5]",1.2,"[0.4692986783027649, 0.46167113485336303, 0.5016251389503479, 0.46393489360809326, 0.44048370175361634, 0.42549142355918884, 0.4191301028966904, 0.41353701725006103, 0.41135474348068235, 0.4320775905609131]","[84.96, 85.64, 83.25, 85.14, 85.92, 86.78, 87.12, 87.68, 87.63, 86.35]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 7, 'net.conv3.parametrizations.weight.original': 31, 'net.conv4.parametrizations.weight.original': 16, 'net.fc1.parametrizations.weight.original': 3, 'net.fc2.parametrizations.weight.original': 1}","[32.48297119140625, 34.64697265625, 36.40807342529297, 41.23274230957031, 44.727455139160156, 47.72970199584961, 50.33723831176758, 52.82703399658203, 54.30620574951172, 58.004817962646484]",0.0,25.0,0.01007117
Summation,42,64,3,None,None,['False'],adamw,0.01,25,0.001,0.0,"[0.506342399597168, 0.4971576621055603, 0.48632547378540036, 0.4732955430030823, 0.46492171268463134, 0.4575661396026611, 0.45156205308437347, 0.4458784272670746, 0.44081030645370484, 0.4318353533744812]","[385.37572860717773, 400.93652868270874, 412.96198558807373, 423.6463534832001, 435.91468620300293, 445.467529296875, 453.87844467163086, 461.67617750167847, 466.21307349205017, 473.79704189300537]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.43235576152801514, 0.41338494420051575, 0.27228355407714844, 0.3416749835014343, 0.5354102849960327, 0.43070125579833984, 0.5355647802352905, 0.4728618860244751, 0.39258626103401184, 0.14894062280654907]","[3.0170974731445312, 3.0144879817962646, 3.012782096862793, 3.0131497383117676, 3.0148825645446777, 3.015596389770508, 3.016482353210449, 3.015928268432617, 3.01501202583313, 3.014467239379883]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5156739411354065, 0.5151947665214539, 0.5463832876682282, 0.5456082623004913, 0.506172102689743, 0.48608657360076907, 0.47294371032714844, 0.4676094641685486, 0.47000132751464846, 0.47385717821121215]","[82.9, 82.6, 80.9, 81.3, 83.15, 83.4, 84.15, 84.5, 84.5, 84.4]",0.9,"[0.4799963017463684, 0.485669135093689, 0.5134888897895813, 0.49638047552108766, 0.4646797707080841, 0.45207158298492434, 0.4313035605430603, 0.43007593150138856, 0.42682420129776, 0.42926764793395994]","[84.83, 84.33, 82.81, 83.99, 85.17, 85.57, 86.61, 86.5, 87.08, 86.66]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 8, 'net.conv3.parametrizations.weight.original': 32, 'net.conv4.parametrizations.weight.original': 11, 'net.fc1.parametrizations.weight.original': 4, 'net.fc2.parametrizations.weight.original': 1}","[29.976009368896484, 33.18013381958008, 34.80046081542969, 41.21803665161133, 45.525299072265625, 48.91191482543945, 54.0139045715332, 55.68535232543945, 58.74219512939453, 62.94763946533203]",0.0,25.0,0.00914668
Summation,42,64,3,None,None,['False'],adamw,0.01,25,0.001,0.0,"[0.49306411633491515, 0.4939384353637695, 0.4747476026058197, 0.46397145538330076, 0.45551108741760254, 0.4488406173706055, 0.44605946025848386, 0.43785534262657166, 0.43600934615135195, 0.42748556852340697]","[484.4960968494415, 499.2028877735138, 512.8815505504608, 525.3279247283936, 540.4191696643829, 549.574301481247, 559.6290562152863, 567.2877924442291, 575.151709318161, 585.7369341850281]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.4948105812072754, 0.4355536103248596, 0.3366346061229706, 0.332175612449646, 0.4671005308628082, 0.4295838177204132, 0.5477294921875, 0.39298129081726074, 0.5319771766662598, 0.3019871115684509]","[3.7505245208740234, 3.747349262237549, 3.7449913024902344, 3.7426233291625977, 3.74151611328125, 3.740691661834717, 3.7407102584838867, 3.7394750118255615, 3.73911714553833, 3.737466335296631]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5164850244522095, 0.5145797989368439, 0.5215481300354003, 0.5262802741527557, 0.5056723499298096, 0.49789656019210815, 0.4982999303340912, 0.4843493037223816, 0.4867542154788971, 0.5221816418170929]","[83.0, 82.7, 82.1, 81.95, 82.8, 83.6, 83.2, 83.8, 83.6, 82.2]",1.2,"[0.4709838396072388, 0.4733459089756012, 0.47816535844802854, 0.46851048707962034, 0.44496279296875, 0.44582679538726805, 0.43434328486919405, 0.4249092573404312, 0.42380569114685057, 0.45684833221435545]","[85.01, 85.13, 84.71, 84.94, 85.91, 85.9, 86.3, 86.55, 87.04, 85.49]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 7, 'net.conv3.parametrizations.weight.original': 30, 'net.conv4.parametrizations.weight.original': 33, 'net.fc1.parametrizations.weight.original': 4, 'net.fc2.parametrizations.weight.original': 1}","[64.22709655761719, 69.14887237548828, 78.0335464477539, 87.48038482666016, 95.13236236572266, 101.99249267578125, 111.66800689697266, 118.74531555175781, 125.31494140625, 134.12649536132812]",0.0,25.0,0.004238364
Multiplication,42,64,3,None,None,['False'],adamw,0.01,25,0.0,0.01,"[0.5143676448822021, 0.5075287984371185, 0.4972653277397156, 0.4819956218719482, 0.4697917275428772, 0.46268098554611203, 0.4514845353603363, 0.4425191915512085, 0.4418058394432068, 0.43122274980545044]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6.126260512928638e-05, 8.058071759364793e-05, 0.0001034996886346562, 0.00013124076320991662, 0.00016952192129338073, 0.0002140354743005446, 0.00025355152217798604, 0.0003013829574456395, 0.00035827581223202287, 0.0004300728271573462]","[0.43859973549842834, 0.39151155948638916, 0.2597343921661377, 0.3116650879383087, 0.4591183662414551, 0.43626290559768677, 0.5583374500274658, 0.3932459354400635, 0.48204195499420166, 0.17249786853790283]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2.9461029953381512e-06, 2.939696059911512e-06, 2.936849114121287e-06, 2.938600346169551e-06, 2.9442749109875876e-06, 2.9473260383383604e-06, 2.9525883746828185e-06, 2.951175247289939e-06, 2.9486438961612293e-06, 2.9426259970932733e-06]","[0.5480610928535461, 0.5343130540847778, 0.5455725121498108, 0.5493753156661987, 0.5149358139038086, 0.5076599907875061, 0.5049244775772095, 0.504474048614502, 0.48650094175338743, 0.5062225522994995]","[81.15, 81.25, 81.5, 81.0, 83.0, 83.25, 83.75, 81.95, 83.65, 83.9]",0.9,"[0.4986505741596222, 0.48121833143234255, 0.4916466236591339, 0.48369617807865145, 0.4446995822429657, 0.4482258132457733, 0.43494549951553346, 0.4372915732860565, 0.42350785179138184, 0.43491947603225706]","[84.38, 84.18, 83.64, 84.34, 86.14, 85.58, 86.43, 86.45, 86.9, 85.94]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 10, 'net.conv3.parametrizations.weight.original': 27, 'net.conv4.parametrizations.weight.original': 11, 'net.fc1.parametrizations.weight.original': 4, 'net.fc2.parametrizations.weight.original': 1}","[32.08863830566406, 35.01768112182617, 38.69153594970703, 45.24275588989258, 52.219627380371094, 55.264610290527344, 61.26594924926758, 66.86282348632812, 71.14845275878906, 79.4831771850586]",0.0,25.0,0.007211078
Multiplication,42,64,3,None,None,['False'],adamw,0.01,25,0.0,0.01,"[0.49718536653518675, 0.4990145272731781, 0.4836244043827057, 0.4727086128234863, 0.46777543811798095, 0.4649076299190521, 0.45873580470085146, 0.4554529345035553, 0.4539493215560913, 0.4433064843177795]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016163465079443995, 0.00019127511086480808, 0.0002358741292027844, 0.0002740987980587306, 0.00030684838225170097, 0.00036179698599880794, 0.0003961747979701613, 0.0004401430151119712, 0.0004962983323366643, 0.0005448413025987975]","[0.465949684381485, 0.42057523131370544, 0.3400692939758301, 0.39658063650131226, 0.512413740158081, 0.41960442066192627, 0.45958879590034485, 0.33847567439079285, 0.5240784883499146, 0.24623876810073853]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.59556065632205e-06, 3.5836637835018337e-06, 3.576398967197747e-06, 3.5681252938957186e-06, 3.5620548715087352e-06, 3.552852149368846e-06, 3.548707809386542e-06, 3.5406560527917463e-06, 3.5398486488702474e-06, 3.534057213983033e-06]","[0.5478538348674774, 0.5295826184749604, 0.5261156313419342, 0.5608875770568847, 0.5154369695186615, 0.5146784987449646, 0.5209323530197143, 0.5065400390625, 0.5063427486419678, 0.5108513898849487]","[81.2, 82.3, 82.65, 80.35, 82.75, 83.0, 82.35, 83.3, 83.75, 82.95]",1.2,"[0.4880010292053223, 0.47527994050979616, 0.46932524702548983, 0.49252441186904905, 0.4512379882335663, 0.4599649248123169, 0.46202921707630157, 0.4473907835483551, 0.44372817678451537, 0.44432832193374633]","[84.24, 84.62, 84.75, 83.72, 85.28, 85.18, 85.04, 85.57, 85.88, 85.64]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 6, 'net.conv3.parametrizations.weight.original': 25, 'net.conv4.parametrizations.weight.original': 22, 'net.fc1.parametrizations.weight.original': 10, 'net.fc2.parametrizations.weight.original': 1}","[49.78955078125, 54.24972152709961, 58.262939453125, 62.98504638671875, 68.16912078857422, 71.34784698486328, 75.64601135253906, 79.6477279663086, 82.63932037353516, 87.10990142822266]",0.0,25.0,0.0064285966
Multiplication,42,64,3,None,None,['False'],adamw,0.01,25,0.0,0.001,"[0.5151966678619385, 0.5084293172836304, 0.4992437599182129, 0.4831406129837036, 0.47085896615982054, 0.46385651664733885, 0.4523556141376495, 0.4439057140827179, 0.44277440724372863, 0.4345184757709503]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6.139885982747728e-05, 8.032939297208941e-05, 0.00010185605509605011, 0.00012660514624940333, 0.00016361171998369173, 0.00020752790089773043, 0.00024824985246141296, 0.0002971490509935393, 0.00035079086455880315, 0.00042230095300510584]","[0.4496491551399231, 0.39274877309799194, 0.2748633325099945, 0.3145650029182434, 0.45740967988967896, 0.4445227384567261, 0.5578827857971191, 0.39044809341430664, 0.4733228087425232, 0.18483701348304749]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2.902247842939687e-06, 2.895064426411409e-06, 2.8912033940287074e-06, 2.8917343115608674e-06, 2.8963008844584692e-06, 2.8986187317059375e-06, 2.90245725409477e-06, 2.8995118555030786e-06, 2.8955839752597967e-06, 2.8887350254080957e-06]","[0.5407903738021851, 0.5334050416946411, 0.5414710669517517, 0.5545531144142151, 0.51624578332901, 0.5090305852890015, 0.5034620866775513, 0.501388198852539, 0.48668647289276123, 0.5082368898391724]","[81.55, 81.4, 81.55, 80.6, 82.8, 82.9, 83.55, 82.35, 83.9, 83.8]",0.9,"[0.4937452310323715, 0.48236288795471194, 0.48688495845794677, 0.48785568070411683, 0.4480030125141144, 0.45059702968597415, 0.4342703045129776, 0.4358972536087036, 0.42512629141807556, 0.44082905931472777]","[84.32, 84.21, 83.95, 84.16, 86.1, 85.52, 86.29, 86.31, 86.75, 85.65]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 10, 'net.conv3.parametrizations.weight.original': 28, 'net.conv4.parametrizations.weight.original': 11, 'net.fc1.parametrizations.weight.original': 4, 'net.fc2.parametrizations.weight.original': 1}","[32.13643264770508, 34.74685287475586, 38.27690124511719, 44.51158905029297, 51.32426834106445, 54.69493103027344, 61.117759704589844, 66.27338409423828, 70.57225799560547, 78.7274398803711]",0.0,25.0,0.0072792876
Multiplication,42,64,3,None,None,['False'],adamw,0.01,25,0.0,0.001,"[0.49660564470291135, 0.4986545729160309, 0.484557022190094, 0.4729462448120117, 0.4677451333999634, 0.46515779418945313, 0.4591421080827713, 0.4558626066207886, 0.4538231985569, 0.4436836393356323]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00016374590336454276, 0.00019205736555250041, 0.00023359807869383076, 0.00027070511112015083, 0.0003034821369283236, 0.0003544079820585466, 0.00039127599075072794, 0.00043038532021455467, 0.0004889850492872938, 0.0005366411955947115]","[0.47158247232437134, 0.43167978525161743, 0.34634023904800415, 0.3977929353713989, 0.5151537656784058, 0.426838755607605, 0.4610157608985901, 0.3316907584667206, 0.5232003927230835, 0.2439502477645874]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.5727707654586993e-06, 3.560435743565904e-06, 3.551714371496928e-06, 3.5417308481555665e-06, 3.5339278383617057e-06, 3.5235268569522304e-06, 3.518146968417568e-06, 3.508838744892273e-06, 3.5072266655333806e-06, 3.501108039927203e-06]","[0.5496938714981079, 0.5326002922058105, 0.527962833404541, 0.5596774952411652, 0.5136603927612304, 0.5145450620651245, 0.5190972461700439, 0.5079157309532165, 0.5050557005405426, 0.5141473233699798]","[81.15, 82.0, 82.75, 80.35, 83.2, 82.9, 82.4, 83.45, 83.85, 82.9]",1.2,"[0.49043967666625976, 0.47724509382247926, 0.47048462624549864, 0.49137049984931946, 0.44916911211013794, 0.4603539029598236, 0.4586436210632324, 0.4483006669998169, 0.4422857144355774, 0.4476979310035706]","[84.07, 84.66, 84.8, 83.73, 85.23, 85.2, 85.21, 85.55, 85.98, 85.58]",False,f_out,False,"{'net.conv1.parametrizations.weight.original': 16, 'net.conv2.parametrizations.weight.original': 6, 'net.conv3.parametrizations.weight.original': 26, 'net.conv4.parametrizations.weight.original': 22, 'net.fc1.parametrizations.weight.original': 10, 'net.fc2.parametrizations.weight.original': 1}","[50.022457122802734, 54.104461669921875, 57.8723030090332, 62.78997039794922, 67.427978515625, 70.77140808105469, 75.09344482421875, 78.5927963256836, 81.91716766357422, 86.70179748535156]",0.0,25.0,0.006427093
